test_suite,test_name,smell,metric_value
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_base.py,test_clone_value_with_list_of_lists_value,Duplicate Assert,6
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_bool_validation_contract.py,test_is_true_with_non_boolean_value,Duplicate Assert,16
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_collections_validation_contract.py,test_is_between_with_set_above_range,Duplicate Assert,24
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_commons_validation_contract.py,test_is_none_with_bool_value,Duplicate Assert,13
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_contract.py,test_requires_with_callable_value,Duplicate Assert,22
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_helpers.py,test_mask_clone,Duplicate Assert,12
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_notifiable.py,test_notifiable_str,Duplicate Assert,3
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_properties1.py,test_animatable_mixin_from_dict,Duplicate Assert,12
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_properties2.py,test_animatable_mixin_add_keyframe_with_kwargs,Duplicate Assert,19
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_base.py,test_clone_value_with_list_of_lists_value,Eager Test,4
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_notifiable.py,test_notifiable_str,Eager Test,2
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_base.py,test_clone_value_with_list_of_lists_value,Conditional Logic,1
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_cpf.py,test__checksum,Conditional Logic,1
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_custom_classes.py,test_group_command_with_invalid_function,Conditional Logic,1
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_email.py,test_empty_string,Conditional Logic,1
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_pis.py,test_checksum,Conditional Logic,1
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_base.py,test_clone_value_with_list_of_lists_value,Magic Number,10
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_bool_validation_contract.py,test_is_true_with_non_boolean_value,Magic Number,12
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_cep.py,test_generate,Magic Number,6
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_cnpj.py,test__checksum,Magic Number,18
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_collections_validation_contract.py,test_is_between_with_set_above_range,Magic Number,16
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_commons_validation_contract.py,test_is_none_with_bool_value,Magic Number,2
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_contract.py,test_requires_with_callable_value,Magic Number,8
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_cpf.py,test__checksum,Magic Number,21
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_helpers.py,test_to_matrix_with_non_default_position,Magic Number,12
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_helpers.py,test_mask_clone,Magic Number,4
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_legal_process.py,test_checksum,Magic Number,12
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_license_plate.py,test_generate,Magic Number,26
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_notifiable.py,test_notifiable_str,Magic Number,3
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_phone.py,test_remove_international_dialing_code,Magic Number,15
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_pis.py,test_checksum,Magic Number,17
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_properties1.py,test_animatable_mixin_from_dict,Magic Number,4
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_properties2.py,test_animatable_mixin_add_keyframe_with_kwargs,Magic Number,21
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_voter_id.py,test_is_valid_with_invalid_vd2,Magic Number,9
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_base.py,test_clone_value_with_list_of_lists_value,Assertion Roullete,14
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_bool_validation_contract.py,test_is_true_with_non_boolean_value,Assertion Roullete,20
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_cep.py,test_generate,Assertion Roullete,9
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_cnpj.py,test__checksum,Assertion Roullete,17
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_collections_validation_contract.py,test_is_between_with_set_above_range,Assertion Roullete,28
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_commons_validation_contract.py,test_is_none_with_bool_value,Assertion Roullete,17
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_contract.py,test_requires_with_callable_value,Assertion Roullete,26
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_cpf.py,test__checksum,Assertion Roullete,20
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_helpers.py,test_to_matrix_with_non_default_position,Assertion Roullete,12
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_helpers.py,test_mask_clone,Assertion Roullete,16
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_legal_process.py,test_checksum,Assertion Roullete,10
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_license_plate.py,test_generate,Assertion Roullete,28
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_notifiable.py,test_notifiable_str,Assertion Roullete,14
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_notification.py,test_notification_str_empty_field_message,Assertion Roullete,6
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_phone.py,test_remove_international_dialing_code,Assertion Roullete,14
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_pis.py,test_checksum,Assertion Roullete,20
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_properties1.py,test_animatable_mixin_from_dict,Assertion Roullete,16
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_properties2.py,test_animatable_mixin_add_keyframe_with_kwargs,Assertion Roullete,29
C:\Users\antho\OneDrive\햞ea de Trabalho\llm-test-code\test_voter_id.py,test_is_valid_with_invalid_vd2,Assertion Roullete,9
